S.No,Course Code,Course Title,Course Mode,Category,L,T,P,J,C,Pre-requisite,Semester,Remarks
1,U18MAI1202,Linear Algebra and Calculus,Embedded - Theory & Lab,BS,3,0,2,0,4,,1,
2,U18.....,Language Elective,Embedded - Theory & Lab,HS,2,0,2,0,3,,1,
3,U18PHI1202,Engineering Physics,Embedded - Theory & Lab,BS,3,0,2,0,4,,1,
4,U18CSI1201,Structured Programming using C,Embedded - Theory & Lab,ES,3,0,2,0,4,,1,
5,U18EEI1201,Basic Electrical and Electronics Engineering,Embedded - Theory & Lab,ES,3,0,2,0,4,,1,
6,U18INI1600,Engineering Clinic-I,Project based course with lab,ES,0,0,4,2,3,,1,
7,U18TLR1001,Heritage of Tamils,Theory,MC,1,0,0,0,1,,1,Non-CGPA
8,U18CSR1001,Disruptive Technologies,Theory,VAC,2,0,0,0,2,,1,Value Added, Non-CGPA
9,U18MAI2201,Advanced Calculus and Laplace Transforms,Embedded - Theory & Lab,BS,3,0,2,0,4,U18MAI1202,2,
10,U18ENI0202,Professional Communication,Embedded - Theory & Lab,HS,2,0,2,0,3,,2,
11,U18BTI2201,Computational Biology,Embedded - Theory & Lab,BS,3,0,2,0,4,,2,
12,U18CSI2201,Python Programming,Embedded - Theory & Lab,ES,2,0,2,0,3,,2,
13,U18CSI2202,Digital Logic and Microprocessor,Embedded - Theory & Lab,PC,3,0,2,0,4,U18EEI1201,2,
14,U18INI2600,Engineering Clinic-II,Project based course with lab,ES,0,0,4,2,3,U18INI1600,2,
15,U18TLR2001,Tamils and Technology,Theory,MC,1,0,0,0,1,,2,
16,U18MAR0003,Tech for Good: Achieving the SDG's by the Role of ICT,Embedded - Theory & Lab,VAC,1,0,2,0,2,,2,Value Added, Non-CGPA
17,U18MAT3102,Discrete Mathematics,Theory,BS,3,1,0,0,4,,3,
18,U18CSI3201,Data Structures,Embedded - Theory & Lab,PC,3,0,2,0,4,,3,
19,U18CSI3202,Object Oriented Programming,Embedded - Theory & Lab,PC,3,0,2,0,4,,3,
20,U18CST3003,Computer Architecture,Theory,PC,3,0,0,0,3,,3,
21,U18CSI3204,Database Management Systems,Embedded - Theory & Lab,PC,3,0,2,0,4,,3,
22,U18CSI6201,Internet and Web Programming,Embedded - Theory & Lab,PC,3,0,2,0,4,,3,
23,U18INI3600,Engineering Clinic-III,Project based course with lab,ES,0,0,4,2,3,U18INI2600,3,
24,U18MAI4201,Probability and Statistics,Embedded - Theory & Lab,BS,3,0,2,0,4,,4,
25,U18CST4001,Design and Analysis of Algorithms,Theory,PC,3,0,0,0,3,U18CSI3201,4,
26,U18CSI4202,Operating Systems,Embedded - Theory & Lab,PC,3,0,2,0,4,U18CST3003,4,
27,U18CSI4204,Software Engineering,Embedded - Theory & Lab,PC,3,0,2,0,4,U18CSI3202,4,
28,U18CSI5201,Computer Networks,Embedded - Theory & Lab,PC,3,0,2,0,4,,4,
29,U18CSI5203,No SQL Databases,Embedded - Theory & Lab,PC,3,0,2,0,4,U18CSI3204,4,
30,U18INI4600,Engineering Clinic-IV,Project based course with lab,ES,0,0,4,2,3,U18INI3600,4,
31,U18CST4003,Theory of Computation,Theory,PC,3,0,0,0,3,U18MAT3102,5,
32,U18CST5002,Agile Software Development,Theory,PC,3,0,0,0,3,U18CSI4204,5,
33,U18CST5004,Social Media Marketing,Theory,HS,3,0,0,0,3,,5,
34,U18CST6002,Wireless Networks and Mobile Systems,Theory,PC,3,0,0,0,3,U18CSI5201,5,
35,U18CSI6203,Data Warehousing and Data Mining,Embedded - Theory & Lab,PC,3,0,2,0,4,U18CSI5203,5,
36,U18CSI7201,Cloud Computing,Embedded - Theory & Lab,PC,3,0,2,0,4,U18CST3003,5,
37,U18VET4101,Universal Human Values 2: Understanding Harmony,Theory,HS,3,0,0,0,3,,5,
38,PE1,Professional Elective I,Theory/Embedded,PE,*,*,*,*,3,,5,
39,PE2,Professional Elective II,Theory/Embedded,PE,*,*,*,*,3,,5,
40,U18CSI5205,Mobile Application Development using Android,Embedded - Theory & Lab,PC,1,0,4,0,3,U18CSI3202,6,
41,U18CST6004,Software Testing,Theory,PC,3,0,0,0,3,U18CST5002,6,
42,U18CST7002,Machine Learning Techniques,Theory,PC,3,0,0,0,3,U18MAI4201,6,
43,U18CHT4000,Environmental Science and Engineering,Theory,MC,3,0,0,0,0,,6,
44,PE3,Professional Elective III,Theory/Embedded,PE,*,*,*,*,3,,6,
45,PE4,Professional Elective IV,Theory/Embedded,PE,*,*,*,*,3,,6,
46,OE1,Open Elective I,Theory,OE,3,0,0,0,3,,6,
47,U18INT5000,Constitution of India,Theory,MC,2,0,0,0,0,,7,
48,OE2,Open Elective II,Theory,OE,3,0,0,0,3,,7,
49,U18CSP7703,Project Phase-I,Project only course,PW,0,0,0,6,3,,7,
50,U18CSP8701,Project Phase-II,Project only course,PW,0,0,0,24,12,,8, 